"strike","daily_close","daily_high","daily_low","daily_volume","daily_vw","delta","gamma","rho","theta","vega","implied_volatility","ask_price","ask_size","bid_price","bid_size","trade_price","trade_size","trade_time","minute_open","minute_close","minute_high","minute_low","minute_volume","prev_close","prev_high","prev_low","prev_volume"
"AAPL250103C00285000",0.01,0.02,0.01,104,0.010962,0.0079,0.0019,3e-04,-0.0255,0.0065,0.3911,0.05,21,0.01,78,0.01,6,"2024-12-27T20:59:16.386499328Z",0.01,0.01,0.01,0.01,47,0.02,0.02,0.01,207
"AAPL250103C00225000",30.6,32.09,28.8,22,30.403182,0.9524,0.0051,0.0291,-0.2188,0.0296,0.6545,31.94,59,28.66,18,30.6,3,"2024-12-27T20:46:57.40741504Z",30.6,30.6,30.6,30.6,3,34.47,34.47,33.56,11
"AAPL250103C00265000",0.18,0.48,0.1,12241,0.182776,0.0646,0.0195,0.0022,-0.0834,0.0376,0.2165,0.21,130,0.15,186,0.18,10,"2024-12-27T20:59:51.081430784Z",0.18,0.18,0.19,0.17,151,0.54,0.82,0.38,10465
"AAPL250103C00155000",100.16,100.16,100.16,2,100.16,NA,NA,NA,NA,NA,NA,104.28,55,100.61,22,100.16,2,"2024-12-27T15:59:52.49523328Z",100.16,100.16,100.16,100.16,2,103.22,103.22,103.21,35
"AAPL250103C00180000",74.83,74.83,73.7,43,73.856512,NA,NA,NA,NA,NA,NA,75.72,5,75.39,5,76.12,1,"2024-12-27T18:39:46.112973312Z",74.83,74.83,74.83,74.83,1,78.26,78.26,78.26,28
"AAPL250103C00325000",0.02,0.02,0.02,5,0.02,NA,NA,NA,NA,NA,NA,0.01,17,0,0,0.02,1,"2024-12-23T15:43:28.827393024Z",0.02,0.02,0.02,0.02,5,NA,NA,NA,NA
"AAPL250103P00205000",0.04,0.04,0.03,72,0.031806,-0.0025,4e-04,-1e-04,-0.0153,0.0023,0.6717,0.02,7,0.01,19,0.05,1,"2024-12-27T19:30:29.449677312Z",0.04,0.04,0.04,0.04,1,0.01,0.03,0.01,269
"AAPL250103C00220000",35.75,36.55,33.85,61,34.972951,0.89,0.0058,0.026,-0.6291,0.0561,1.082,37.84,75,35.58,30,35.75,15,"2024-12-27T20:55:59.638797056Z",35.75,35.75,35.75,35.75,15,39.49,39.49,38.64,17
"AAPL250103C00130000",124.19,124.19,124.19,3,124.19,NA,NA,NA,NA,NA,NA,128.26,12,123.66,23,125.65,3,"2024-12-23T16:02:10.084904448Z",124.19,124.19,124.19,124.19,3,NA,NA,NA,NA
"AAPL250103C00140000",114.45,114.45,114.45,1,114.45,NA,NA,NA,NA,NA,NA,118.74,67,115.74,67,114.45,1,"2024-12-27T16:14:10.36356096Z",114.45,114.45,114.45,114.45,1,116.78,116.78,116.78,1
"AAPL250103C00292500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AAPL250103C00295000",0.07,0.07,0.01,9,0.024444,NA,NA,NA,NA,NA,NA,0.03,41,0,0,0.03,1,"2024-12-27T20:29:43.821103872Z",0.07,0.07,0.07,0.07,1,0.01,0.02,0.01,3
"AAPL250103C00170000",85.65,85.65,85.65,1,85.65,NA,NA,NA,NA,NA,NA,88.98,67,83.95,67,85.49,1,"2024-12-27T15:17:43.105823232Z",85.65,85.65,85.65,85.65,1,80.17,80.17,80.17,1
"AAPL250103P00220000",0.08,0.11,0.05,2117,0.075574,-0.0155,0.0022,-6e-04,-0.0685,0.0116,0.5932,0.11,220,0.09,223,0.09,1,"2024-12-27T20:55:51.571741952Z",0.08,0.08,0.08,0.08,101,0.05,0.06,0.05,164
"AAPL250103C00207500",47.45,47.45,46.95,697,47.25505,0.9828,0.0017,0.0278,-0.1318,0.0127,0.8509,48.82,52,46.29,38,46.18,1,"2024-12-27T16:29:46.745297408Z",47.45,47.45,47.45,47.45,1,51.61,52.05,51.5,7
"AAPL250103C00100000",153.25,153.25,153.25,1,153.25,NA,NA,NA,NA,NA,NA,157.8,16,151.41,16,152.85,1,"2024-12-27T17:08:11.867776768Z",153.25,153.25,153.25,153.25,1,NA,NA,NA,NA
"AAPL250103P00195000",0.02,0.02,0.01,39,0.018718,NA,NA,NA,NA,NA,NA,0.04,1,0.03,6,0.03,1,"2024-12-27T20:21:28.0823296Z",0.02,0.02,0.02,0.02,1,0.02,0.02,0.01,26
"AAPL250103P00200000",0.02,0.04,0.01,152,0.024934,-0.004,5e-04,-1e-04,-0.0278,0.0035,0.7951,0.05,1,0.01,310,0.03,6,"2024-12-27T20:37:08.554420224Z",0.02,0.02,0.02,0.02,61,0.01,0.02,0.01,239
"AAPL250103C00267500",0.1,0.22,0.05,3203,0.107452,0.0435,0.013,0.0015,-0.0668,0.0275,0.2384,0.13,105,0.12,136,0.12,1,"2024-12-27T20:59:53.541582848Z",0.1,0.1,0.11,0.1,4,0.24,0.39,0.18,1840
"AAPL250103C00150000",103.6,107.7,103.6,14,106.732143,NA,NA,NA,NA,NA,NA,108.55,16,105.55,16,102.76,1,"2024-12-27T17:02:53.170642944Z",103.6,103.6,103.6,103.6,1,104.18,104.19,104.18,35
"AAPL250103P00130000",0.01,0.01,0.01,61,0.01,NA,NA,NA,NA,NA,NA,0.04,32,0,0,0.01,2,"2024-12-17T19:32:18.185996032Z",0.01,0.01,0.01,0.01,4,NA,NA,NA,NA
"AAPL250103P00160000",0.03,0.05,0.03,1791,0.030128,NA,NA,NA,NA,NA,NA,0.04,16,0,0,0.03,5,"2024-12-20T18:51:46.89733504Z",0.03,0.03,0.03,0.03,1778,0.04,0.04,0.04,15
"AAPL250103C00110000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147.53,12,146.38,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AAPL250103C00272500",0.05,0.06,0.02,1291,0.04811,0.0213,0.0062,7e-04,-0.0432,0.0153,0.2789,0.07,61,0.06,203,0.06,94,"2024-12-27T20:59:33.284115968Z",0.05,0.05,0.05,0.05,300,0.06,0.1,0.05,1040
"AAPL250103C00300000",0.01,0.01,0.01,2,0.01,NA,NA,NA,NA,NA,NA,0.03,17,0,0,0.01,1,"2024-12-26T17:10:36.51570176Z",0.01,0.01,0.01,0.01,1,0.01,0.01,0.01,10
"AAPL250103C00210000",45.25,48.11,43.49,53,45.016415,0.9394,0.0036,0.0265,-0.4224,0.0358,1.1158,47.66,71,43.96,48,45.25,15,"2024-12-27T20:40:03.95062528Z",45.25,45.25,45.25,45.25,15,49.63,49.63,48.32,31
"AAPL250103P00100000",0.01,0.01,0.01,3,0.01,NA,NA,NA,NA,NA,NA,0.03,500,0,0,0.01,3,"2024-12-26T14:57:32.97575936Z",0.01,0.01,0.01,0.01,3,NA,NA,NA,NA
"AAPL250103P00202500",0.03,0.04,0.01,243,0.03428,-0.0024,3e-04,-1e-04,-0.0154,0.0022,0.7062,0.02,3,0.01,251,0.02,10,"2024-12-27T20:57:49.464197888Z",0.03,0.03,0.03,0.03,10,0.04,0.05,0.03,78
"AAPL250103C00227500",27.81,27.97,27.81,7,27.924286,0.872,0.0078,0.0264,-0.5828,0.0624,0.8974,30.64,30,27.75,17,27.01,2,"2024-12-27T15:59:52.49523328Z",27.81,27.81,27.81,27.81,2,31.86,32.2,31.86,7
"AAPL250103C00315000",0.01,0.01,0.01,7,0.01,NA,NA,NA,NA,NA,NA,0.01,30,0,0,0.03,6,"2024-12-18T16:32:40.247787776Z",0.01,0.01,0.01,0.01,7,0.01,0.01,0.01,4
"AAPL250103P00140000",0.01,0.01,0.01,2,0.01,NA,NA,NA,NA,NA,NA,0.04,31,0,0,0.01,1,"2024-12-27T15:00:49.34407296Z",0.01,0.01,0.01,0.01,2,0.01,0.01,0.01,9
"AAPL250103C00105000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153.56,23,147.64,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AAPL250103C00280000",0.02,0.03,0.01,76,0.019868,0.009,0.0024,3e-04,-0.0247,0.0073,0.3363,0.05,32,0.01,66,0.04,1,"2024-12-27T20:09:33.241857536Z",0.02,0.02,0.02,0.02,1,0.02,0.03,0.02,506
"AAPL250103C00260000",0.73,1.9,0.43,39264,0.77393,0.2144,0.0466,0.0074,-0.1889,0.087,0.2098,0.77,1,0.74,12,0.74,8,"2024-12-27T20:59:58.334589952Z",0.73,0.73,0.76,0.71,455,2.04,2.7,1.58,24438
"AAPL250103C00310000",0.01,0.01,0.01,1,0.01,NA,NA,NA,NA,NA,NA,0.01,25,0,0,0.01,1,"2024-12-27T17:30:07.9512576Z",0.01,0.01,0.01,0.01,1,0.02,0.02,0.02,1
"AAPL250103C00252500",4.5,7,2.99,4607,3.978784,0.6265,0.0478,0.0212,-0.3182,0.1129,0.2655,4.63,56,4.37,3,4.5,5,"2024-12-27T20:59:50.0556416Z",4.45,4.5,4.57,4.45,38,7.55,8.27,6.35,545
"AAPL250103C00120000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137.88,50,132.1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AAPL250103C00290000",0.02,0.02,0.01,147,0.011973,NA,NA,NA,NA,NA,NA,0.04,50,0,0,0.02,28,"2024-12-27T20:53:44.526337536Z",0.01,0.02,0.02,0.01,45,0.01,0.02,0.01,2
"AAPL250103P00227500",0.12,0.15,0.08,3829,0.117704,-0.0231,0.0037,-8e-04,-0.08,0.0163,0.4949,0.14,147,0.12,139,0.12,10,"2024-12-27T20:49:56.219316224Z",0.12,0.12,0.12,0.12,10,0.07,0.09,0.07,269
"AAPL250103P00207500",0.04,0.05,0.03,3349,0.040421,-0.0074,9e-04,-3e-04,-0.0448,0.0061,0.7351,0.07,260,0.04,292,0.04,3,"2024-12-27T18:46:52.190184704Z",0.04,0.04,0.04,0.04,30,0.02,0.02,0.02,1
"AAPL250103C00212500",42.87,43.16,41.5,10,42.655,0.9401,0.0038,0.0269,-0.3924,0.0355,1.0404,44.7,69,41.77,1,43.24,1,"2024-12-27T20:27:42.979698944Z",42.87,42.87,42.87,42.87,2,46.95,47.22,46.95,3
"AAPL250103C00297500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,67,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AAPL250103C00282500",0.02,0.02,0.01,29,0.015862,0.0084,0.0021,3e-04,-0.0251,0.0068,0.3639,0.05,7,0.01,1,0.02,4,"2024-12-27T20:47:10.622322432Z",0.02,0.02,0.02,0.02,4,0.02,0.02,0.02,3
"AAPL250103P00105000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,33,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AAPL250103C00240000",16.07,18.23,13.77,785,15.139083,0.8577,0.0152,0.0277,-0.3563,0.0671,0.4951,16.54,6,15.49,7,16.07,2,"2024-12-27T20:59:42.527293952Z",16.07,16.07,16.07,16.07,2,19.65,20.02,18.29,308
"AAPL250103C00232500",23.17,25.74,22,140,23.371643,0.8401,0.0098,0.0259,-0.6255,0.0725,0.8315,25.48,74,23.7,29,23.7,4,"2024-12-27T20:50:22.04023296Z",23.2,23.17,23.3,23.09,100,26.4,27.53,26,29
"AAPL250103P00190000",0.01,0.02,0.01,606,0.010033,NA,NA,NA,NA,NA,NA,0.04,2,0.03,400,0.01,70,"2024-12-27T20:38:13.152324608Z",0.01,0.01,0.01,0.01,100,0.02,0.02,0.02,5
"AAPL250103P00215000",0.06,0.07,0.03,5725,0.050152,-0.0122,0.0016,-4e-04,-0.0618,0.0095,0.6578,0.09,31,0.08,30,0.08,9,"2024-12-27T20:58:16.23858048Z",0.06,0.06,0.06,0.06,10,0.03,0.06,0.03,246
"AAPL250103P00175000",0.01,0.01,0.01,15,0.01,NA,NA,NA,NA,NA,NA,0.04,32,0,0,0.01,15,"2024-12-23T20:47:38.171314944Z",0.01,0.01,0.01,0.01,15,0.03,0.09,0.03,15
"AAPL250103C00190000",65.55,67.14,63.45,24,65.82375,NA,NA,NA,NA,NA,NA,68.27,30,64.82,28,65.55,15,"2024-12-27T20:38:06.19214976Z",65.55,65.55,65.55,65.55,15,69.5,69.5,68.8,49
"AAPL250103C00202500",52.27,52.3,52.27,4,52.2775,NA,NA,NA,NA,NA,NA,55.65,21,54.05,5,52.43,1,"2024-12-27T16:13:30.717495296Z",52.27,52.27,52.27,52.27,2,57.07,57.08,57.07,4
"AAPL250103C00125000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134.45,50,128.83,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AAPL250103P00212500",0.05,0.06,0.02,320,0.049906,-0.0051,8e-04,-2e-04,-0.0266,0.0044,0.6135,0.04,19,0.02,55,0.04,10,"2024-12-27T20:57:58.854611456Z",0.05,0.05,0.05,0.05,10,0.03,0.04,0.03,11
"AAPL250103C00242500",13.37,15.73,11.56,243,13.09535,0.7987,0.0178,0.0259,-0.4662,0.0838,0.5295,15.38,8,13.11,30,13.37,1,"2024-12-27T20:55:13.637116416Z",13.37,13.37,13.37,13.37,1,17.26,17.77,16.15,84
"AAPL250103C00255000",2.8,5,1.71,31112,2.390746,0.5009,0.0572,0.0171,-0.2932,0.119,0.234,2.8,5,2.69,3,2.8,2,"2024-12-27T20:59:59.610423808Z",2.75,2.8,2.81,2.72,126,5.35,6.25,4.35,3118
"AAPL250103P00180000",0.01,0.01,0.01,112,0.01,NA,NA,NA,NA,NA,NA,0.01,35,0,0,0.01,6,"2024-12-27T18:12:13.927387904Z",0.01,0.01,0.01,0.01,20,0.01,0.01,0.01,11
"AAPL250103P00230000",0.13,0.18,0.09,2054,0.141996,-0.022,0.004,-8e-04,-0.0687,0.0157,0.4423,0.12,274,0.1,229,0.12,1,"2024-12-27T20:49:45.89346816Z",0.13,0.13,0.13,0.13,2,0.09,0.12,0.08,484
"AAPL250103C00330000",0.01,0.01,0.01,2,0.01,NA,NA,NA,NA,NA,NA,0.01,32,0,0,0.01,1,"2024-12-27T14:30:13.410199552Z",0.01,0.01,0.01,0.01,2,0.01,0.01,0.01,3
"AAPL250103P00210000",0.05,0.06,0.02,1952,0.057546,-0.0067,9e-04,-2e-04,-0.0376,0.0056,0.6801,0.08,55,0.01,249,0.06,1,"2024-12-27T19:50:08.809334784Z",0.05,0.05,0.05,0.05,1,0.02,0.04,0.02,188
"AAPL250103P00217500",0.07,0.08,0.03,777,0.059498,-0.0135,0.0019,-5e-04,-0.0639,0.0103,0.6236,0.1,280,0.08,17,0.08,3,"2024-12-27T20:47:51.52904576Z",0.07,0.07,0.07,0.07,5,0.04,0.06,0.04,193
"AAPL250103C00320000",0.02,0.02,0.02,1,0.02,NA,NA,NA,NA,NA,NA,0.01,30,0,0,0.02,1,"2024-12-23T14:30:02.792866304Z",0.02,0.02,0.02,0.02,1,0.01,0.01,0.01,1
"AAPL250103C00270000",0.06,0.12,0.04,11434,0.055977,0.0238,0.0076,8e-04,-0.0419,0.0167,0.2461,0.09,278,0.04,182,0.06,96,"2024-12-27T20:59:57.354433792Z",0.07,0.06,0.07,0.06,378,0.13,0.19,0.09,2965
"AAPL250103C00185000",69.78,73.61,69.78,22,70.66,NA,NA,NA,NA,NA,NA,73.25,33,68.77,27,70.11,1,"2024-12-27T18:06:32.91520384Z",69.78,69.78,69.78,69.78,1,74.43,74.43,73.27,163
"AAPL250103C00277500",0.03,0.03,0.02,576,0.023056,0.011,0.0031,4e-04,-0.0275,0.0087,0.3142,0.06,245,0.01,234,0.02,10,"2024-12-27T20:23:42.152207872Z",0.03,0.03,0.03,0.03,11,0.02,0.04,0.02,180
"AAPL250103C00200000",55.8,58,54.77,104,55.998365,NA,NA,NA,NA,NA,NA,56.8,24,56.58,2,56.58,10,"2024-12-27T20:58:38.702580992Z",55.6,55.8,55.8,55.6,20,59.54,59.54,58.55,111
"AAPL250103C00237500",17.84,19.44,16.31,260,18.043923,0.9174,0.0115,0.0296,-0.2272,0.0454,0.4441,19.12,32,16.72,59,18.04,3,"2024-12-27T20:37:11.097461248Z",17.84,17.84,17.84,17.84,3,22.3,22.5,20.83,195
"AAPL250103C00175000",78.65,81.91,78.65,21,81.754762,NA,NA,NA,NA,NA,NA,82.67,70,79.79,74,78.65,1,"2024-12-27T16:58:42.250057984Z",78.65,78.65,78.65,78.65,1,84.05,84.05,84.05,1
"AAPL250103C00215000",40.43,41.53,38.85,22,40.280455,0.9392,0.0041,0.0272,-0.3735,0.0359,0.9757,42,55,39.39,55,40.5,3,"2024-12-27T20:41:53.15362176Z",40.43,40.43,40.43,40.43,15,44.61,44.61,43.59,7
"AAPL250103C00235000",20.58,23.33,18.85,332,20.14991,0.872,0.0111,0.0275,-0.4188,0.0624,0.6328,21.26,30,21.05,30,20.44,1,"2024-12-27T20:03:50.290085632Z",20.68,20.58,20.68,20.58,16,24.74,24.74,23.23,42
"AAPL250103C00230000",25.55,27.27,23.85,149,24.852617,0.8746,0.0087,0.0269,-0.514,0.0615,0.7977,26.77,17,26.13,5,26.13,4,"2024-12-27T20:55:50.451803136Z",25.55,25.55,25.55,25.55,4,29.52,29.74,28.58,86
"AAPL250103C00195000",60.6,60.6,60.19,2,60.395,NA,NA,NA,NA,NA,NA,62.47,30,58.56,69,60.6,1,"2024-12-27T19:53:21.358364416Z",60.6,60.6,60.6,60.6,1,64.5,64.76,64.5,36
"AAPL250103P00110000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,52,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AAPL250103P00185000",0.01,0.01,0.01,800,0.01,NA,NA,NA,NA,NA,NA,0.05,32,0.03,267,0.03,100,"2024-12-27T20:56:36.339322368Z",0.01,0.01,0.01,0.01,100,0.01,0.03,0.01,13
"AAPL250103C00145000",109.6,109.6,109.6,1,109.6,NA,NA,NA,NA,NA,NA,111.45,69,107.86,18,109.99,1,"2024-12-27T16:41:04.8512384Z",109.6,109.6,109.6,109.6,1,113.22,113.22,113.21,35
"AAPL250103C00287500",0.01,0.02,0.01,10,0.014,0.0084,0.0018,3e-04,-0.0293,0.0068,0.4255,0.04,19,0.03,2,0.03,1,"2024-12-27T20:53:08.646475776Z",0.01,0.01,0.01,0.01,1,NA,NA,NA,NA
"AAPL250103C00115000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144.21,50,136.12,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AAPL250103P00170000",0.02,0.02,0.02,50,0.02,NA,NA,NA,NA,NA,NA,0.01,34,0,0,0.03,50,"2024-12-23T15:22:58.815742976Z",0.02,0.02,0.02,0.02,50,0.04,0.05,0.04,164
"AAPL250103P00155000",0.03,0.03,0.03,15,0.03,NA,NA,NA,NA,NA,NA,0.04,24,0,0,0.05,7,"2024-12-19T17:51:03.90291968Z",0.03,0.03,0.03,0.03,15,0.02,0.02,0.02,132
"AAPL250103C00305000",0.01,0.01,0.01,1,0.01,NA,NA,NA,NA,NA,NA,0.01,32,0,0,0.01,1,"2024-12-19T17:49:20.612807168Z",0.01,0.01,0.01,0.01,1,0.03,0.04,0.01,47
"AAPL250103P00222500",0.1,0.11,0.05,1405,0.082826,-0.0171,0.0026,-6e-04,-0.0701,0.0127,0.5577,0.11,25,0.1,43,0.1,3,"2024-12-27T20:55:54.34505088Z",0.1,0.1,0.1,0.1,6,0.05,0.07,0.05,158
"AAPL250103C00262500",0.36,1,0.2,12577,0.393362,0.1196,0.0318,0.0041,-0.1288,0.0595,0.2104,0.38,399,0.35,130,0.36,1,"2024-12-27T20:59:58.080976128Z",0.36,0.36,0.36,0.34,263,1.06,1.56,0.8,13083
"AAPL250103P00165000",0.03,0.03,0.03,48,0.03,NA,NA,NA,NA,NA,NA,0.04,31,0,0,0.03,4,"2024-12-20T18:51:26.278185984Z",0.03,0.03,0.03,0.03,48,0.04,0.04,0.03,22
"AAPL250103C00247500",8.75,11.45,6.97,775,8.179071,0.7588,0.0282,0.0252,-0.3666,0.093,0.3709,9.32,40,8.73,80,8.75,50,"2024-12-27T20:59:44.899297792Z",8.75,8.75,8.75,8.75,50,12.16,12.65,11.1,110
"AAPL250103P00150000",0.02,0.04,0.02,3,0.026667,NA,NA,NA,NA,NA,NA,0.01,15,0,0,0.02,1,"2024-12-20T20:56:02.26892672Z",0.02,0.02,0.02,0.02,1,0.03,0.03,0.03,626
"AAPL250103C00160000",95.6,95.6,94.83,5,95.292,NA,NA,NA,NA,NA,NA,98.49,10,93.44,10,95.95,3,"2024-12-27T20:01:22.341757184Z",95.6,95.6,95.6,95.6,3,94.29,94.29,94.29,1
"AAPL250103C00135000",118.25,118.25,118.25,1,118.25,NA,NA,NA,NA,NA,NA,122.83,27,117.49,18,119.91,1,"2024-12-27T17:10:43.55387008Z",118.25,118.25,118.25,118.25,1,123.79,123.79,123.79,3
"AAPL250103C00275000",0.03,0.04,0.02,1806,0.036041,0.012,0.0037,4e-04,-0.027,0.0093,0.285,0.06,167,0.01,202,0.03,2,"2024-12-27T20:47:14.429951744Z",0.03,0.03,0.03,0.03,2,0.03,0.06,0.03,3081
"AAPL250103C00222500",32.25,32.25,32.25,9,32.25,0.866,0.0065,0.0255,-0.7404,0.0644,1.1151,35.88,82,33.69,26,31.68,9,"2024-12-27T16:41:02.16137856Z",32.25,32.25,32.25,32.25,9,35.56,35.56,35.56,1
"AAPL250103C00217500",41.58,41.58,41.58,3,41.58,0.8975,0.0053,0.026,-0.6238,0.0533,1.1289,39.96,50,38.31,22,41.55,3,"2024-12-26T18:16:18.062374144Z",41.58,41.58,41.58,41.58,3,NA,NA,NA,NA
"AAPL250103P00135000",0.01,0.01,0.01,31,0.01,NA,NA,NA,NA,NA,NA,0.01,29,0,0,0.01,1,"2024-12-18T16:27:57.538134528Z",0.01,0.01,0.01,0.01,20,0.01,0.01,0.01,5
"AAPL250103C00250000",6.62,8.82,4.72,3527,6.102447,0.7247,0.039,0.0244,-0.3069,0.0996,0.2871,6.54,31,6.25,236,6.54,37,"2024-12-27T20:59:28.48227072Z",6.6,6.62,6.62,6.55,41,9.88,10.7,8.6,1196
"AAPL250103C00245000",10.89,13.71,9.02,577,10.61643,0.7974,0.0225,0.0263,-0.3759,0.0841,0.4199,11.77,23,10.97,10,10.97,2,"2024-12-27T20:55:41.69415296Z",10.89,10.89,10.89,10.89,2,14.64,15.32,13.5,345
"AAPL250103P00120000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,42,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AAPL250103C00257500",1.52,3.25,0.88,32022,1.531853,0.3505,0.0573,0.012,-0.25,0.1105,0.2168,1.51,1,1.5,3,1.51,50,"2024-12-27T20:59:59.527160576Z",1.48,1.52,1.55,1.45,288,3.5,4.3,2.75,6042
"AAPL250103P00115000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,33,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AAPL250103P00145000",0.01,0.01,0.01,1,0.01,NA,NA,NA,NA,NA,NA,0.01,17,0,0,0.01,1,"2024-12-23T15:45:34.459974144Z",0.01,0.01,0.01,0.01,1,0.03,0.03,0.02,12
"AAPL250103P00125000",0.01,0.01,0.01,2,0.01,NA,NA,NA,NA,NA,NA,0.01,27,0,0,0.01,2,"2024-12-18T14:37:06.878558464Z",0.01,0.01,0.01,0.01,2,0.01,0.01,0.01,30
"AAPL250103C00205000",50.69,52.8,49.05,32,50.29125,NA,NA,NA,NA,NA,NA,52.39,75,49.65,18,50.39,4,"2024-12-27T19:35:59.278836224Z",50.46,50.69,50.69,50.46,5,54.48,54.51,53.88,33
"AAPL250103C00165000",94.4,94.4,94.4,1,94.4,NA,NA,NA,NA,NA,NA,93.51,55,88.62,18,94.93,1,"2024-12-26T20:50:00.03824768Z",94.4,94.4,94.4,94.4,1,89.25,89.25,89.25,1
"AAPL250103P00225000",0.1,0.13,0.06,6472,0.0893,-0.017,0.0028,-6e-04,-0.0636,0.0126,0.5104,0.12,14,0.07,30,0.1,1,"2024-12-27T20:59:12.756969472Z",0.1,0.1,0.1,0.1,1,0.06,0.09,0.06,263
